mkdir results
OpenMP is enabled.
Number of threads = 8
app_name: khi
Using algorithm: GSPH
use2ndOrderGSPH: 1
forceCorrection: 1
write results/00000.dat
Initialization complete. Particle count=1875
loop: 1, time: 0.00321139, dt: 0.00321139, num: 1875
loop: 2, time: 0.00645646, dt: 0.00324507, num: 1875
loop: 3, time: 0.00975346, dt: 0.003297, num: 1875
loop: 4, time: 0.0131169, dt: 0.00336341, num: 1875
loop: 5, time: 0.0165594, dt: 0.00344256, num: 1875
loop: 6, time: 0.0199233, dt: 0.00336383, num: 1875
loop: 7, time: 0.0233421, dt: 0.00341887, num: 1875
loop: 8, time: 0.0267754, dt: 0.00343324, num: 1875
loop: 9, time: 0.0302428, dt: 0.00346739, num: 1875
loop: 10, time: 0.0337407, dt: 0.00349792, num: 1875
loop: 11, time: 0.0372675, dt: 0.00352679, num: 1875
loop: 12, time: 0.0407185, dt: 0.00345106, num: 1875
loop: 13, time: 0.0441696, dt: 0.00345103, num: 1875
loop: 14, time: 0.0476542, dt: 0.00348469, num: 1875
loop: 15, time: 0.0511693, dt: 0.0035151, num: 1875
loop: 16, time: 0.0546516, dt: 0.00348228, num: 1875
loop: 17, time: 0.0581256, dt: 0.00347398, num: 1875
loop: 18, time: 0.0615871, dt: 0.00346146, num: 1875
loop: 19, time: 0.0650729, dt: 0.00348583, num: 1875
loop: 20, time: 0.0685744, dt: 0.00350146, num: 1875
loop: 21, time: 0.0720959, dt: 0.00352153, num: 1875
loop: 22, time: 0.0756402, dt: 0.00354433, num: 1875
loop: 23, time: 0.0790463, dt: 0.00340611, num: 1875
loop: 24, time: 0.0824564, dt: 0.00341002, num: 1875
loop: 25, time: 0.0858711, dt: 0.00341475, num: 1875
loop: 26, time: 0.0892912, dt: 0.00342009, num: 1875
loop: 27, time: 0.092716, dt: 0.00342484, num: 1875
loop: 28, time: 0.0960981, dt: 0.00338209, num: 1875
loop: 29, time: 0.099445, dt: 0.00334687, num: 1875
loop: 30, time: 0.102789, dt: 0.00334417, num: 1875
write results/00001.dat
loop: 31, time: 0.106118, dt: 0.00332913, num: 1875
loop: 32, time: 0.109439, dt: 0.00332027, num: 1875
loop: 33, time: 0.112747, dt: 0.0033088, num: 1875
loop: 34, time: 0.116018, dt: 0.00327071, num: 1875
loop: 35, time: 0.119289, dt: 0.0032706, num: 1875
loop: 36, time: 0.122567, dt: 0.00327804, num: 1875
loop: 37, time: 0.125857, dt: 0.00329048, num: 1875
loop: 38, time: 0.129161, dt: 0.0033035, num: 1875
loop: 39, time: 0.132487, dt: 0.00332602, num: 1875
loop: 40, time: 0.135722, dt: 0.00323542, num: 1875
loop: 41, time: 0.138966, dt: 0.00324431, num: 1875
loop: 42, time: 0.142229, dt: 0.00326243, num: 1875
loop: 43, time: 0.145519, dt: 0.00329058, num: 1875
loop: 44, time: 0.148849, dt: 0.00332961, num: 1875
loop: 45, time: 0.152228, dt: 0.00337918, num: 1875
loop: 46, time: 0.155584, dt: 0.00335542, num: 1875
loop: 47, time: 0.158961, dt: 0.00337697, num: 1875
loop: 48, time: 0.16236, dt: 0.00339889, num: 1875
loop: 49, time: 0.165784, dt: 0.00342492, num: 1875
loop: 50, time: 0.169241, dt: 0.00345677, num: 1875
loop: 51, time: 0.17264, dt: 0.00339922, num: 1875
loop: 52, time: 0.176064, dt: 0.00342398, num: 1875
loop: 53, time: 0.179517, dt: 0.00345284, num: 1875
loop: 54, time: 0.183006, dt: 0.00348858, num: 1875
loop: 55, time: 0.186538, dt: 0.00353259, num: 1875
loop: 56, time: 0.189999, dt: 0.00346024, num: 1875
loop: 57, time: 0.193457, dt: 0.00345784, num: 1875
loop: 58, time: 0.196907, dt: 0.00345, num: 1875
loop: 59, time: 0.200346, dt: 0.00343963, num: 1875
write results/00002.dat
loop: 60, time: 0.203775, dt: 0.00342897, num: 1875
loop: 61, time: 0.207141, dt: 0.00336585, num: 1875
loop: 62, time: 0.210488, dt: 0.00334655, num: 1875
loop: 63, time: 0.213817, dt: 0.00332966, num: 1875
loop: 64, time: 0.217135, dt: 0.00331801, num: 1875
loop: 65, time: 0.220449, dt: 0.00331414, num: 1875
loop: 66, time: 0.22377, dt: 0.00332034, num: 1875
loop: 67, time: 0.227026, dt: 0.00325659, num: 1875
loop: 68, time: 0.230292, dt: 0.00326548, num: 1875
loop: 69, time: 0.233576, dt: 0.00328424, num: 1875
loop: 70, time: 0.236891, dt: 0.0033151, num: 1875
loop: 71, time: 0.240248, dt: 0.00335661, num: 1875
loop: 72, time: 0.243581, dt: 0.00333359, num: 1875
loop: 73, time: 0.246907, dt: 0.00332584, num: 1875
loop: 74, time: 0.250239, dt: 0.00333173, num: 1875
loop: 75, time: 0.253577, dt: 0.00333849, num: 1875
loop: 76, time: 0.256925, dt: 0.00334721, num: 1875
loop: 77, time: 0.260284, dt: 0.00335931, num: 1875
loop: 78, time: 0.263605, dt: 0.00332089, num: 1875
loop: 79, time: 0.266925, dt: 0.00332047, num: 1875
loop: 80, time: 0.270243, dt: 0.00331799, num: 1875
loop: 81, time: 0.273559, dt: 0.00331531, num: 1875
loop: 82, time: 0.276875, dt: 0.00331619, num: 1875
loop: 83, time: 0.280129, dt: 0.00325416, num: 1875
loop: 84, time: 0.283377, dt: 0.00324853, num: 1875
loop: 85, time: 0.286625, dt: 0.00324735, num: 1875
loop: 86, time: 0.289878, dt: 0.003253, num: 1875
loop: 87, time: 0.293144, dt: 0.0032665, num: 1875
loop: 88, time: 0.296432, dt: 0.00328783, num: 1875
loop: 89, time: 0.299658, dt: 0.00322556, num: 1875
loop: 90, time: 0.302901, dt: 0.00324381, num: 1875
write results/00003.dat
loop: 91, time: 0.30617, dt: 0.00326894, num: 1875
loop: 92, time: 0.309473, dt: 0.00330232, num: 1875
loop: 93, time: 0.312808, dt: 0.00333553, num: 1875
loop: 94, time: 0.316154, dt: 0.00334553, num: 1875
loop: 95, time: 0.319477, dt: 0.00332277, num: 1875
loop: 96, time: 0.32283, dt: 0.00335341, num: 1875
loop: 97, time: 0.326202, dt: 0.00337172, num: 1875
loop: 98, time: 0.32958, dt: 0.00337835, num: 1875
loop: 99, time: 0.332962, dt: 0.00338187, num: 1875
loop: 100, time: 0.336322, dt: 0.00336052, num: 1875
loop: 101, time: 0.339666, dt: 0.00334397, num: 1875
loop: 102, time: 0.342993, dt: 0.00332657, num: 1875
loop: 103, time: 0.346308, dt: 0.00331499, num: 1875
loop: 104, time: 0.349612, dt: 0.0033042, num: 1875
loop: 105, time: 0.352911, dt: 0.0032986, num: 1875
loop: 106, time: 0.356214, dt: 0.00330368, num: 1875
loop: 107, time: 0.359474, dt: 0.00325974, num: 1875
loop: 108, time: 0.362731, dt: 0.0032569, num: 1875
loop: 109, time: 0.365988, dt: 0.00325719, num: 1875
loop: 110, time: 0.369251, dt: 0.00326252, num: 1875
loop: 111, time: 0.372525, dt: 0.00327439, num: 1875
loop: 112, time: 0.375819, dt: 0.00329353, num: 1875
loop: 113, time: 0.379069, dt: 0.00324988, num: 1875
loop: 114, time: 0.382323, dt: 0.0032548, num: 1875
loop: 115, time: 0.385582, dt: 0.00325837, num: 1875
loop: 116, time: 0.388841, dt: 0.00325968, num: 1875
loop: 117, time: 0.392101, dt: 0.00325916, num: 1875
loop: 118, time: 0.395358, dt: 0.00325726, num: 1875
loop: 119, time: 0.398613, dt: 0.00325502, num: 1875
